epoch,accuracy,loss,val_accuracy,val_loss
0,0.473844438791275,1.2088478803634644,0.5389049053192139,1.1147483587265015
1,0.6495986580848694,0.8562601804733276,0.5936599373817444,1.0570151805877686
2,0.7290340662002563,0.6823036670684814,0.5936599373817444,1.0836271047592163
3,0.7926930785179138,0.5408845543861389,0.590778112411499,1.315913438796997
4,0.8270135521888733,0.4661288559436798,0.5446686148643494,1.416985273361206
5,0.8588430881500244,0.37710151076316833,0.5763688683509827,1.361180067062378
6,0.8804317712783813,0.33099785447120667,0.5417867302894592,1.633465051651001
7,0.9130915999412537,0.25650277733802795,0.5619596838951111,1.685417890548706
8,0.92637699842453,0.21846185624599457,0.559077799320221,1.664587378501892
9,0.9349570870399475,0.19289052486419678,0.5648415088653564,1.8084876537322998
10,0.9346803426742554,0.184840127825737,0.5677233338356018,1.8592448234558105
11,0.9490727782249451,0.14571066200733185,0.5706051588058472,1.8264141082763672
12,0.9382784366607666,0.1616578996181488,0.5677233338356018,2.123892307281494
13,0.9482424855232239,0.14457261562347412,0.5936599373817444,1.9436434507369995
14,0.9582064747810364,0.12207769602537155,0.579250693321228,2.0732693672180176
15,0.9673401713371277,0.09653259068727493,0.559077799320221,2.254265069961548
16,0.9703847169876099,0.09051736444234848,0.6023054718971252,2.217855215072632
17,0.9518405795097351,0.1487789899110794,0.590778112411499,2.430972099304199
18,0.9645723700523376,0.10108945518732071,0.6224783658981323,2.267019510269165
19,0.9775809645652771,0.07230540364980698,0.5446686148643494,2.5483803749084473
20,0.972045361995697,0.07906848192214966,0.6051872968673706,2.319695472717285
21,0.972045361995697,0.08096804469823837,0.5648415088653564,2.5547070503234863
22,0.9684472680091858,0.0894729346036911,0.5706051588058472,2.510101318359375
23,0.9612510204315186,0.10071725398302078,0.590778112411499,2.309281587600708
24,0.9695543646812439,0.08771040290594101,0.590778112411499,2.552773952484131
