epoch,accuracy,loss,val_accuracy,val_loss
0,0.35621365904808044,1.3329459428787231,0.46109509468078613,1.2836931943893433
1,0.6271796226501465,1.0063295364379883,0.6426513195037842,0.933655321598053
2,0.7915859222412109,0.5908298492431641,0.7060518860816956,0.7991679310798645
3,0.8497093915939331,0.4116035997867584,0.7031700015068054,0.8150060176849365
4,0.8848602175712585,0.3278471827507019,0.6916426420211792,0.8591654896736145
5,0.9067257046699524,0.2677336037158966,0.6829971075057983,0.9066630601882935
6,0.9219484925270081,0.22527755796909332,0.6945244669914246,0.951996922492981
7,0.9415997862815857,0.1846451759338379,0.6829971075057983,1.0102020502090454
8,0.947965681552887,0.16471077501773834,0.6916426420211792,1.0301467180252075
9,0.9557154774665833,0.14114131033420563,0.6772334575653076,1.1644797325134277
10,0.9665098190307617,0.12369905412197113,0.6829971075057983,1.1657270193099976
11,0.9640188217163086,0.11534930020570755,0.6829971075057983,1.2255619764328003
12,0.9695543646812439,0.10115505009889603,0.6887608170509338,1.3038824796676636
13,0.9723221659660339,0.09177107363939285,0.6657060384750366,1.3111759424209595
14,0.9725989699363708,0.08429677784442902,0.6599423885345459,1.41288423538208
15,0.9731525182723999,0.08475559204816818,0.6743515729904175,1.3863837718963623
16,0.9753667116165161,0.07194200903177261,0.6714697480201721,1.4097013473510742
17,0.9753667116165161,0.07965144515037537,0.6772334575653076,1.4439082145690918
18,0.9761970639228821,0.07765573263168335,0.6714697480201721,1.4670509099960327
19,0.9773041605949402,0.06539633125066757,0.6743515729904175,1.5503145456314087
20,0.9778577089309692,0.06103577837347984,0.6685879230499268,1.5522774457931519
21,0.9767506122589111,0.067225880920887,0.6714697480201721,1.5848677158355713
22,0.9753667116165161,0.06339635699987411,0.6628242135047913,1.5633134841918945
23,0.9778577089309692,0.05935490131378174,0.680115282535553,1.601718544960022
24,0.976473867893219,0.059884801506996155,0.6685879230499268,1.619643211364746
